frame_id,class_id,center_x,center_y,major_axis,minor_axis,angle,aspect_ratio,area
0,0,0.7982006969696969,0.6580387878787878,0.06283587946671391,0.016131723627846,-174.98031945257532,3.8949331133557386,0.0007961196662961913
1,0,0.7919531249999998,0.6630901499999999,0.06478844881558782,0.019881938751764885,-170.90461265133538,3.2584946131183425,0.0010116870595951399
2,0,0.7852324390243904,0.6672764390243903,0.06644253682310099,0.021297471350617724,-173.98737554016816,3.1195918115115777,0.0011113839735057021
3,0,0.7782812285714285,0.6749602285714285,0.06849151372284744,0.021819553637380185,-170.57744020089487,3.138853159322068,0.001173741629028559
4,0,0.766907,0.676424564102564,0.07794840714798665,0.02332073936934096,-172.12131469458672,3.3423067599519856,0.0014277081597646897
5,0,0.7551862553191488,0.6843970851063829,0.0721028266466819,0.026890737546304982,-170.7814472847793,2.681226027977098,0.0015228070756363008
5,1,0.8119081515151514,0.6673821212121213,0.07052622259188604,0.01823897241182846,-173.72969215122674,3.8665750692775394,0.001010277942970615
6,0,0.7458111702127659,0.6927305531914891,0.07210276057401512,0.026890750038413826,-170.78155983425322,2.681222325472277,0.0015228063876061401
6,1,0.8005608717948719,0.6752136666666667,0.06815871296631848,0.023069074476423153,-176.2726010315673,2.9544210200090344,0.0012349274196979203
7,0,0.7379985957446811,0.6941193829787233,0.07210282014055512,0.02689076187237232,-170.78155407504104,2.681223360624471,0.0015228083157984658
7,1,0.7954947333333333,0.6774999666666666,0.0681519805192893,0.024861218151270906,-174.02891420363866,2.7411866513529692,0.001330732509948585
8,0,0.7309674468085104,0.6955082765957448,0.07210279707766054,0.026890758724828632,-170.78145887651718,2.6812228168286163,0.001522807650467646
8,1,0.7902139210526314,0.6775584210526313,0.06989699718701574,0.026011464416791773,-175.1849260511436,2.687057868376949,0.0014279506654412224
9,0,0.7245794615384613,0.7034188205128206,0.07416057484932494,0.026388972961415062,-167.7224080545831,2.810180023971815,0.0015370410168252348
