Feature1_time,"Feature1_[x,y]",Feature2_time,"Feature2_[x,y]"
0,"[0.81, 0.53]",0,"[0.88, 0.52]"
1,"[0.81, 0.53]",1,"[0.88, 0.52]"
2,"[0.81, 0.53]",2,"[0.87, 0.52]"
3,"[0.81, 0.53]",3,"[0.87, 0.52]"
4,"[0.80, 0.53]",4,"[0.87, 0.52]"
5,"[0.80, 0.53]",5,"[0.87, 0.52]"
6,"[0.80, 0.53]",6,"[0.86, 0.52]"
7,"[0.80, 0.53]",7,"[0.86, 0.52]"
8,"[0.79, 0.53]",8,"[0.86, 0.52]"
9,"[0.79, 0.53]",9,"[0.86, 0.52]"
10,"[0.79, 0.53]",10,"[0.86, 0.52]"
11,"[0.79, 0.53]",11,"[0.85, 0.52]"
12,"[0.78, 0.53]",12,"[0.85, 0.52]"
13,"[0.78, 0.53]",13,"[0.85, 0.52]"
14,"[0.78, 0.53]",14,"[0.85, 0.52]"
15,"[0.77, 0.53]",15,"[0.84, 0.52]"
16,"[0.77, 0.53]",16,"[0.84, 0.52]"
17,"[0.77, 0.53]",17,"[0.84, 0.52]"
18,"[0.77, 0.53]",18,"[0.84, 0.52]"
19,"[0.76, 0.53]",19,"[0.83, 0.52]"
20,"[0.76, 0.53]",20,"[0.83, 0.53]"
21,"[0.76, 0.53]",21,"[0.83, 0.53]"
22,"[0.75, 0.53]",22,"[0.82, 0.53]"
23,"[0.75, 0.53]",23,"[0.82, 0.53]"
24,"[0.75, 0.53]",24,"[0.82, 0.53]"
25,"[0.74, 0.53]",25,"[0.81, 0.53]"
26,"[0.74, 0.53]",26,"[0.81, 0.53]"
27,"[0.74, 0.53]",27,"[0.81, 0.53]"
28,"[0.73, 0.53]",28,"[0.80, 0.53]"
29,"[0.73, 0.53]",29,"[0.80, 0.53]"
30,"[0.73, 0.53]",30,"[0.80, 0.53]"
31,"[0.72, 0.54]",31,"[0.79, 0.53]"
32,"[0.72, 0.54]",32,"[0.79, 0.53]"
33,"[0.71, 0.54]",33,"[0.78, 0.53]"
34,"[0.71, 0.54]",34,"[0.78, 0.53]"
35,"[0.70, 0.54]",35,"[0.77, 0.53]"
36,"[0.70, 0.54]",36,"[0.77, 0.53]"
37,"[0.69, 0.55]",37,"[0.76, 0.53]"
38,"[0.69, 0.55]",38,"[0.76, 0.53]"
39,"[0.68, 0.55]",39,"[0.75, 0.53]"
40,"[0.68, 0.55]",40,"[0.75, 0.53]"
41,"[0.67, 0.55]",41,"[0.74, 0.53]"
42,"[0.66, 0.55]",42,"[0.74, 0.53]"
43,"[0.66, 0.55]",43,"[0.73, 0.54]"
44,"[0.65, 0.56]",44,"[0.73, 0.54]"
45,"[0.65, 0.56]",45,"[0.72, 0.54]"
46,"[0.64, 0.56]",46,"[0.71, 0.54]"
47,"[0.64, 0.56]",47,"[0.71, 0.54]"
48,"[0.63, 0.56]",48,"[0.70, 0.54]"
49,"[0.62, 0.56]",49,"[0.70, 0.54]"
50,"[0.62, 0.56]",50,"[0.69, 0.54]"
51,"[0.61, 0.56]",51,"[0.69, 0.55]"
52,"[0.61, 0.56]",52,"[0.68, 0.55]"
53,"[0.60, 0.56]",53,"[0.67, 0.55]"
54,"[0.59, 0.56]",54,"[0.67, 0.55]"
55,"[0.58, 0.56]",55,"[0.66, 0.55]"
56,"[0.58, 0.56]",56,"[0.65, 0.55]"
57,"[0.57, 0.56]",57,"[0.65, 0.55]"
58,"[0.56, 0.56]",58,"[0.64, 0.56]"
59,"[0.56, 0.56]",59,"[0.63, 0.56]"
60,"[0.55, 0.56]",60,"[0.62, 0.56]"
61,"[0.54, 0.56]",61,"[0.62, 0.56]"
62,"[0.54, 0.56]",62,"[0.61, 0.56]"
63,"[0.53, 0.56]",63,"[0.61, 0.56]"
64,"[0.52, 0.57]",64,"[0.60, 0.56]"
65,"[0.52, 0.57]",65,"[0.59, 0.56]"
66,"[0.51, 0.56]",66,"[0.59, 0.56]"
67,"[0.50, 0.56]",67,"[0.58, 0.56]"
68,"[0.50, 0.57]",68,"[0.58, 0.56]"
69,"[0.49, 0.57]",69,"[0.57, 0.56]"
70,"[0.49, 0.57]",70,"[0.56, 0.56]"
71,"[0.48, 0.57]",71,"[0.56, 0.56]"
72,"[0.47, 0.57]",72,"[0.55, 0.56]"
73,"[0.47, 0.57]",73,"[0.55, 0.56]"
74,"[0.46, 0.57]",74,"[0.54, 0.56]"
75,"[0.46, 0.57]",75,"[0.53, 0.56]"
76,"[0.45, 0.57]",76,"[0.53, 0.56]"
77,"[0.45, 0.57]",77,"[0.52, 0.57]"
78,"[0.44, 0.56]",78,"[0.52, 0.56]"
79,"[0.44, 0.56]",79,"[0.51, 0.56]"
80,"[0.43, 0.56]",80,"[0.50, 0.56]"
81,"[0.43, 0.56]",81,"[0.50, 0.57]"
82,"[0.43, 0.56]",82,"[0.49, 0.57]"
83,"[0.42, 0.56]",83,"[0.49, 0.57]"
84,"[0.42, 0.56]",84,"[0.49, 0.57]"
85,"[0.41, 0.56]",85,"[0.48, 0.57]"
86,"[0.41, 0.56]",86,"[0.48, 0.57]"
87,"[0.41, 0.56]",87,"[0.47, 0.57]"
88,"[0.40, 0.56]",88,"[0.47, 0.58]"
89,"[0.40, 0.56]",89,"[0.47, 0.58]"
